amazon link,creator,format,retail price,title
0006480101,Robin Hobb,Paperback,£7.99,The Farseer II: Royal Assassin (The Farseer Trilogy)
000648011X,Robin Hobb,Paperback,£7.99,Assassin's Quest (Farseer S.)
000649885X,Robin Hobb,Paperback,£7.99,The Liveship Traders 1: Ship of Magic
0006498868,Robin Hobb,Paperback,£7.99,The Mad Ship (Liveship Traders S.)
0099458195,Aldous Huxley,Paperback,£8.99,Point Counter Point (Vintage Classic)
0340833696,Greg Iles,Paperback,£6.99,Blood Memory
0340833726,Greg Iles,Paperback,£6.99,Turning Angel
1421536439,Project Itoh,Paperback,£9.99,Harmony
0141182679,Jack Kerouac,Paperback,£7.99,On the Road (Penguin Modern Classics)
184154244X,William King,Paperback,£5.99,Farseer (Eldar Trilogy)
0747232725,Dean Koontz,Paperback,£7.99,Midnight
0747235163,Dean Koontz,Paperback,£8.99,Strangers
0752858548,Robert Ludlum,Paperback,£6.99,The Bourne Identity
0099489945,Sergei Lukyanenko,Paperback,£7.99,The Twilight Watch
0099510154,Sergei Lukyanenko,Paperback,£8.99,The Last Watch
0755339126,Andy McDermott,Paperback,£7.99,The Hunt for Atlantis
0755339150,Andy McDermott,Paperback,£7.99,The Tomb of Hercules
0755345509,Andy McDermott,Paperback,£6.99,The Secret of Excalibur
0755345533,Andy McDermott,Paperback,£8.99,The Covenant of Genesis
0671037536,Ian McDonald,Paperback,£5.99,Desolation Road
0671037536,Ian McDonald,Paperback,£5.99,Desolation Road
1841493732,Fiona McIntosh,Paperback,£7.99,Myrren's Gift: The Quickening Book One (Quickening 1)
1841493740,Fiona McIntosh,Paperback,£7.99,Blood and Memory (Quickening Trilogy)
1841493759,Fiona McIntosh,Paperback,£7.99,Bridge of Souls (Quickening Trilogy)
0330392905,China Mieville,Paperback,£7.99,The Scar
0330492527,China Mieville,Paperback,£7.99,Iron Council
1405048301,China Mieville,Hardcover,£17.99,Looking for Jake and Other Stories
0451462408,Devon Monk,Mass Market Paperback,£6.99,Magic to the Bone
